Account Type;Member Tags;User Tags;RSVP'ed;Registration Date;Registration Option;Are you an IE Alumni?;Year of graduation;Degree;Section (please, type N/A if this is not applicable to your program);Country;I'm interested in networking around ... (please choose one);Please let us know if you have any allergies or dietary restrictions:;Which roles are you most interested in? (Mark all that apply);Attendee's Comment;Officer's Notes;Paid;Quantity;Payment Status;Payment Date;Checked-In Date;Gateway Number;Event Registration UID;Unnamed: 40
Alumni;"""Visibility YES,FRIDAY June 7th,SUNDAY 9 de junio""";"""SPAIN,Programa Master_en,Management Programs,English,non_associate,Madrid,Alumni,Programa Master Oficial_en,PARTNERS SEP-2010,MBA (OF),MBAP,PARTNERS,MBAP OCT-2011,MBA (OF) OCT-2011""";Yes;1/26/2024 8:16:24 PM;KIDS AREA TICKET;;;;;;;No;;;;40.0;1.0;COMPLETE;1/26/2024 7:14:18 PM;06/07/2024 16:42;fzt78pd9;1a92ab40-bc7f-11ee-b416-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SUNDAY 9 de junio""";"""SPAIN,Programa Master_en,Management Programs,English,non_associate,Madrid,Alumni,Programa Master Oficial_en,PARTNERS SEP-2010,MBA (OF),MBAP,PARTNERS,MBAP OCT-2011,MBA (OF) OCT-2011""";Yes;1/26/2024 8:16:24 PM;GAW early bird ticket - ENDED;Yes;2012;MBA part-time;Na;Spain;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);None ;;;;99.0;1.0;COMPLETE;1/30/2024 12:51:14 PM;06/07/2024 16:42;e2edqtph;1a92ab40-bc7f-11ee-b416-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""UNITED ARAB EMIRATES,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 2:28:36 PM;GAW early bird ticket - ENDED;Yes;2014;International MBA;A3;United Arab Emirates;Other;Cranberries;;;;99.0;1.0;COMPLETE;1/30/2024 1:25:43 PM;06/07/2024 16:49;he1bx01v;118e8060-bf73-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""UNITED ARAB EMIRATES,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 2:28:36 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;MBA;A3;United Arab Emirates;;Cranberries ;;;;179.0;1.0;COMPLETE;1/30/2024 1:25:43 PM;6/18/2024 5:41:04 PM;he1bx01v;118e8060-bf73-11ee-af10-0a31732c095b;
Alumni;"""IMBA Oct 2003,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""COLOMBIA,Programa Master_en,Spanish,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 2:43:22 PM;GAW early bird ticket - ENDED;Yes;2004;International MBA;S2;Colombia;Media & Entertainment;;;;;99.0;1.0;COMPLETE;1/30/2024 1:39:34 PM;06/07/2024 16:03;chsgzt4z;012286f8-bf75-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""GERMANY,Programa Master_en,English,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;1/30/2024 2:45:54 PM;GAW early bird ticket - ENDED;Yes;2014;International MBA;N6;Germany;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;99.0;1.0;COMPLETE;3/28/2024 1:46:53 PM;06/07/2024 17:10;ragsd2cx;35ff1558-bf73-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th""";"""VENEZUELA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 2:59:42 PM;GAW early bird ticket - ENDED;Yes;2014;International MBA;A1;Venezuela;Finance;;;;;99.0;1.0;COMPLETE;1/30/2024 1:57:25 PM;06/07/2024 15:59;dcxwa3cr;7f438115-bf77-11ee-af10-0a31732c095b;
Staff;"""IMBA Oct 2003,Visibility YES,SATURDAY 8 de junio,SATURDAY GUEST""";"""Madrid,Staff,GAW 24,Last Online after 2020""";Yes;1/29/2024 4:28:47 PM;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;1/29/2024 3:59:34 PM;06/08/2024 11:00;hxybdpnk;b81be4d7-beba-11ee-af10-0a31732c095b;
Staff;"""IMBA Oct 2003,Visibility YES,SATURDAY 8 de junio,SATURDAY GUEST""";"""Madrid,Staff,GAW 24,Last Online after 2020""";Yes;1/29/2024 4:28:47 PM;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;1/29/2024 3:59:34 PM;06/08/2024 11:00;hxybdpnk;b81be4d7-beba-11ee-af10-0a31732c095b;
Staff;"""IMBA Oct 2003,Visibility YES,SATURDAY 8 de junio,SATURDAY GUEST""";"""Madrid,Staff,GAW 24,Last Online after 2020""";Yes;1/29/2024 4:28:47 PM;GAW early bird ticket - ENDED;Yes;2004;IMBA;IMBA2004S3;Spain;Finance;;;;;99.0;1.0;COMPLETE;1/30/2024 2:21:59 PM;06/08/2024 11:00;853qye3e;b81be4d7-beba-11ee-af10-0a31732c095b;
Staff;"""IMBA Oct 2003,Visibility YES,SATURDAY 8 de junio,SATURDAY GUEST""";"""Madrid,Staff,GAW 24,Last Online after 2020""";Yes;1/29/2024 4:28:47 PM;GAW early bird ticket - ENDED;Yes;2009;MBAP;MBAP Oct 2008;Spain;Finance;;;;;99.0;1.0;COMPLETE;1/30/2024 2:21:59 PM;06/08/2024 11:00;853qye3e;b81be4d7-beba-11ee-af10-0a31732c095b;
Graduate Student;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""SPAIN,MIM-English,Programa Master_en,English,associate,Madrid,Alumni,MBD SEP-2024,MBD""";Yes;1/30/2024 3:40:40 PM;GAW early bird ticket - ENDED;Yes;2022;Master in Management;4;Peru;Consulting;No allergies or dietary restrictions.;;;;99.0;1.0;COMPLETE;1/30/2024 2:38:43 PM;06/07/2024 16:01;7rb1vsqd;448c5dbe-bf7d-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""GERMANY,MIM-English,Programa Master_en,English,non_associate,Madrid,Alumni""";Yes;1/30/2024 3:47:23 PM;GAW early bird ticket - ENDED;Yes;2014;Master in Management;Section 2 - Major in International Business;Germany;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;99.0;1.0;COMPLETE;1/30/2024 2:44:00 PM;06/07/2024 16:03;fh3hsedv;01961ad3-bf7e-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 5:26:02 PM;Class Reunion Committee Members;Yes;2014;International MBA;N6;Spain;Finance;;;;;65.0;1.0;COMPLETE;1/30/2024 4:22:31 PM;06/07/2024 17:32;ng31q70x;c4c707f4-bf8b-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 5:26:02 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;IMBA;N6;Spain;;Nons;;;;179.0;1.0;COMPLETE;1/30/2024 4:22:31 PM;6/18/2024 1:03:17 PM;ng31q70x;c4c707f4-bf8b-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""SPAIN,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 5:26:02 PM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;;;Spain;;;;;;179.0;1.0;COMPLETE;1/30/2024 4:22:31 PM;;ng31q70x;c4c707f4-bf8b-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA""";"""UNITED ARAB EMIRATES,Programa Master_en,English,associate,GOMBA SEP-2021,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/30/2024 5:26:52 PM;GAW early bird ticket - ENDED;Yes;2023;Global Online MBA;S2;United Arab Emirates;Technology ;No;;;;99.0;1.0;COMPLETE;1/30/2024 4:23:05 PM;06/07/2024 15:58;h0x9796q;d8a41ad6-bf8b-11ee-af10-0a31732c095b;
Alumni;"""Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio,GALA""";"""UNITED ARAB EMIRATES,Programa Master_en,English,associate,GOMBA SEP-2021,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/30/2024 5:26:52 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2023;Global Online MBA;S2;United Arab Emirates;;No;;;;179.0;1.0;COMPLETE;1/30/2024 4:23:05 PM;6/17/2024 3:07:31 PM;h0x9796q;d8a41ad6-bf8b-11ee-af10-0a31732c095b;
Alumni;"""IMBA Jan 2019,Visibility YES,FRIDAY June 7th""";"""INDIA,Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,IMBA-ENG ENE-2019""";Yes;1/30/2024 5:30:38 PM;Class Reunion Committee Members;Yes;2019;International MBA;J5;India;Other;Vegetarian;;Food Preference: Vegetarian;;65.0;1.0;COMPLETE;1/30/2024 4:27:10 PM;06/07/2024 16:29;98216aqa;6b0de56a-bf8c-11ee-af10-0a31732c095b;
